pc_timestamp_s,ipoc,override,vel_act,rpm_ext,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,aruco_timestamp_s,camera_lag_ms,visible_count,visible_ids,m0_rvec_x,m0_rvec_y,m0_rvec_z,m0_tvec_x_m,m0_tvec_y_m,m0_tvec_z_m,m1_rvec_x,m1_rvec_y,m1_rvec_z,m1_tvec_x_m,m1_tvec_y_m,m1_tvec_z_m,m2_rvec_x,m2_rvec_y,m2_rvec_z,m2_tvec_x_m,m2_tvec_y_m,m2_tvec_z_m,m3_rvec_x,m3_rvec_y,m3_rvec_z,m3_tvec_x_m,m3_tvec_y_m,m3_tvec_z_m,m4_rvec_x,m4_rvec_y,m4_rvec_z,m4_tvec_x_m,m4_tvec_y_m,m4_tvec_z_m
1771276690.0801682,739104,10,0,0,860.0,40.0,480.0,0.0,90.0,0.0,1771276690.0771823,2.9859542846679688,1,0,-1.9114619448568393,-1.9385716498463474,-1.2032166501113015,-0.5162332955931455,-0.5686971536488723,1.9211335368526263,,,,,,,,,,,,,,,,,,,,,,,,
1771276698.632245,747656,10,0,0,860.0,40.0,440.0,0.0,90.0,0.0,1771276698.6301367,2.108335494995117,1,0,2.1108705488448054,2.1821045093195504,-0.39447324662519495,0.6713841526969291,-0.5210326890565635,1.8273718718079406,,,,,,,,,,,,,,,,,,,,,,,,
1771276711.5520825,760576,10,0,0,860.0,40.0,440.0,0.0,90.0,24.0,1771276711.5461054,5.977153778076172,1,0,-1.911142837826144,-1.1679312953327663,0.24461196691190842,0.7342753342239898,-0.5475599850781366,1.8159087266845808,,,,,,,,,,,,,,,,,,,,,,,,
1771276728.847958,777872,10,0,0,860.0,40.0,440.0,0.0,90.0,-24.0,1771276728.8412323,6.725788116455078,1,0,1.6925720847874168,2.4315842213235634,-0.3672953049613212,0.5825084732756116,-0.5047057558429591,1.7815335943486783,,,,,,,,,,,,,,,,,,,,,,,,
1771276740.1639044,789188,10,0,0,860.0,40.0,440.0,-180.0,80.0,-180.0,1771276740.1603568,3.54766845703125,1,0,2.1074848127586194,2.0760622745972643,-0.3429653861515344,0.630605866309307,-0.5716430480404366,1.7237253168973394,,,,,,,,,,,,,,,,,,,,,,,,
1771276747.8785868,796904,10,0,0,860.0,40.0,440.0,0.0,86.6,0.0,1771276747.8726032,5.983591079711914,1,0,2.1143295476656316,2.0636886941617263,-0.2426591395122337,-0.4894582959935654,-0.4943921782025607,1.8353857260747877,,,,,,,,,,,,,,,,,,,,,,,,
1771276750.4789488,799500,10,0,0,860.0,40.0,440.0,0.0,80.5,0.0,1771276750.4444318,34.51704978942871,1,0,2.2007175361149334,2.114598077542369,-0.2645674101036168,0.7016781622596863,-0.46258415108889006,1.9029589307910482,,,,,,,,,,,,,,,,,,,,,,,,
1771276753.079713,802104,10,0,0,860.0,40.0,440.0,0.0,80.0,0.0,1771276753.0481367,31.57639503479004,1,0,-2.0448215517750596,-2.0012500564480424,-1.2541308752659346,-0.49708872615458644,-0.4461844996284115,1.8645892796050965,,,,,,,,,,,,,,,,,,,,,,,,
1771276755.6829956,804708,10,0,0,860.0,40.0,440.0,0.3,80.3,0.8,1771276755.652031,30.96461296081543,1,0,2.220834664474563,2.0946599141860958,-0.2621650695420069,0.6898434167041232,-0.44974244325699236,1.8642262060263834,,,,,,,,,,,,,,,,,,,,,,,,
1771276758.2832594,807308,10,0,0,860.0,40.1,440.0,4.6,83.3,11.1,1771276758.2561185,27.14085578918457,1,0,-1.713299174073955,-1.3819419796903856,-0.10544504465514122,0.7005041950664759,-0.4700210664122141,1.8260326777529632,,,,,,,,,,,,,,,,,,,,,,,,
1771276762.747253,811772,10,0,0,860.0,40.1,440.0,152.0,85.3,179.5,1771276762.732192,15.060901641845703,1,0,2.460942904072225,1.5315496724418682,-0.3863408791159094,-0.36787939895493244,-0.5407026757199734,1.6646637376917175,,,,,,,,,,,,,,,,,,,,,,,,
1771276765.3507602,814376,10,0,0,860.0,40.0,440.0,159.6,82.3,-166.9,1771276765.334514,16.246318817138672,1,0,2.5269995053500973,1.4126745551856288,-0.36685844572966664,-0.350843675038691,-0.5529064423727125,1.595145848806584,,,,,,,,,,,,,,,,,,,,,,,,
1771276767.9510133,816976,10,0,0,860.0,40.0,440.0,160.0,82.0,-166.0,1771276767.9390461,11.967182159423828,1,0,2.4827690807124974,1.4050494036022951,-0.3958687281468097,-0.3480840846248039,-0.5521431888940525,1.5845055569994724,,,,,,,,,,,,,,,,,,,,,,,,
1771276770.554911,819580,10,0,0,860.0,40.0,440.0,159.7,82.1,-166.9,1771276770.544288,10.622978210449219,1,0,-1.993071867382035,-1.0922661458299778,-1.233240456901715,-0.34770322226285455,-0.5484864758498337,1.579794155883077,,,,,,,,,,,,,,,,,,,,,,,,
1771276773.1590433,822184,10,0,0,860.0,39.9,440.0,155.6,83.4,-177.0,1771276773.1513956,7.64775276184082,1,0,-1.9424484663695074,-1.284769042991351,-1.1766232340384546,-0.36674405438129987,-0.5509191279887621,1.6504466798767978,,,,,,,,,,,,,,,,,,,,,,,,
1771276775.762846,824788,10,0,0,860.0,39.9,440.0,139.4,85.8,153.9,1771276775.7527895,10.056495666503906,1,0,-1.760899934798046,-1.20380374105997,-0.004259833279901846,0.7105991663956842,-0.5525374342393652,1.782809245500051,,,,,,,,,,,,,,,,,,,,,,,,
