pc_ts,ipoc,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,cam_ts,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m
1771539494.9485643,6199116,850.0,40.0,460.0,0.0,90.0,0.0,1771539494.9147542,0.22123655425727667,2.7812060611370923,-0.7130229040191565,-0.557422972529406,0.010065205648774523,1.9701999279708928
1771539497.5497482,6201716,850.0,40.0,460.0,5.0,75.0,-6.0,1771539497.5191622,-0.09625307917290615,2.984364762860921,-0.3395117824409907,-0.5527459853571467,-0.13621492316164632,2.070808628386272
1771539500.1538854,6204320,850.1,40.2,460.1,5.1,75.1,-5.8,1771539500.1246705,-0.06764678255988786,2.892284257096061,-0.4132915622843476,-0.5686124227980858,-0.13915602090214277,2.13243204137175
1771539506.4506314,6210620,850.0,40.0,480.0,8.0,65.0,-8.0,1771539506.4350004,-0.27022778897823757,3.03884446745166,0.18437698410879672,0.8266990091235366,-0.22802135201490112,2.1368463275036014
1771539509.0552778,6213224,850.0,40.0,480.0,8.0,65.0,-8.0,1771539509.039653,-0.27022778897823757,3.03884446745166,0.18437698410879672,0.8266990091235366,-0.22802135201490112,2.1368463275036014
1771539516.5014508,6220668,850.0,40.0,460.0,18.0,78.0,10.0,1771539516.485825,0.22671568739879222,-2.6071427769672373,0.2243664033516832,0.7795465178617994,-0.11293386021892918,2.189306493237821
1771539519.1175375,6223284,850.1,40.2,460.1,18.4,78.2,10.5,1771539519.1007266,0.24585551279665696,-2.705020076612889,0.2670659139050024,0.7541061970933186,-0.10886207762367102,2.120938298241447
1771539525.497697,6229664,850.0,40.0,470.0,15.0,70.0,-8.0,1771539525.467555,-0.29915652798959463,2.810904587444726,-0.5015277709104133,-0.5235753405017126,-0.1810412507940497,2.1112907773804976
1771539528.1010115,6232268,850.0,40.0,470.0,15.0,70.0,-8.0,1771539528.0710714,-0.29915652798959463,2.810904587444726,-0.5015277709104133,-0.5235753405017126,-0.1810412507940497,2.1112907773804976
1771539535.1162078,6239284,850.0,40.0,460.0,8.0,82.0,18.0,1771539535.0809126,-0.1990428846988922,-2.597078632496564,0.5277153689364781,0.6913077144876092,-0.054796121902617095,2.0978396042505585
1771539537.7169209,6241884,850.1,39.6,460.1,8.1,82.2,17.8,1771539537.6843834,0.2509298941511995,2.981660933471586,0.3294663188460466,-0.6451798123861693,-0.051799801899486304,2.0936299437833035
1771539543.5611975,6247728,850.0,40.0,470.0,10.0,74.0,15.0,1771539543.5295246,-0.048993719332342096,-2.6286615809822567,0.13642423439757875,0.704539905902672,-0.13139159546174933,2.1345765119221625
1771539546.165087,6250332,850.0,40.0,470.0,10.0,74.0,15.0,1771539546.1343732,0.2116330930517814,3.122552709181671,0.23181880918426437,-0.6658927055693551,-0.12822133218669668,2.1388239023678626
1771539553.7458599,6257924,906.7,121.2,445.6,168.9,82.9,171.2,1771539553.7458599,0.10918985666931116,-2.438255200025178,0.8901700072412448,0.5696240363939948,0.018298375270684588,1.9114723675569982
1771539556.3487232,6260516,920.0,140.0,440.0,168.0,85.0,172.0,1771539556.3157072,0.07561855533144862,2.961494635481076,0.8719940189952947,0.5593574457250892,-0.01182382738485608,1.9558323307164276
1771539558.9488187,6263116,920.0,88.5,440.0,155.6,87.2,158.1,1771539558.9199653,0.2292983445219575,2.6801651705877734,-0.6473994819102667,-0.6538791663781462,-0.03801897136601339,2.0237446926263734
1771539562.3245246,6266492,920.0,-38.2,440.0,24.2,86.5,23.2,1771539562.292402,0.12657106737291088,-2.747777801413166,0.6039689397724555,0.8686053227458747,-0.1121540943128546,2.2183624541943314
1771539564.9287727,6269096,919.9,-135.8,439.8,12.3,82.2,8.4,1771539564.8961847,0.06668263765311844,-2.7961145490172012,0.4686488133944758,1.0129664102706069,-0.15699476343655916,2.2516859752393508
1771539567.532951,6271700,920.0,-140.0,440.0,12.0,82.0,8.0,1771539567.4995456,0.19062900283162282,2.6378072815640934,-0.684630066438443,-0.37571525206468936,-0.13984717202335423,1.997567780516411
1771539570.136257,6274304,885.8,-76.2,442.5,11.2,79.6,7.2,1771539570.1050963,0.12180887901381174,-2.779154298353887,0.6074444504851639,0.8787765050252351,-0.13795594816106005,2.0966598304281368
1771539572.7400951,6276908,839.5,9.7,445.8,10.5,76.2,6.5,1771539572.7087412,0.1125072803614161,2.7730355545252023,-0.526702974026697,-0.5304244033964989,-0.11077564412838631,1.966109439845364
1771539575.3441362,6279512,793.2,95.6,449.1,10.1,72.9,6.1,1771539575.3122935,0.12456820948523094,-2.48772170614627,0.2504377532813263,0.612991007423705,-0.09416196962375832,1.9231893979310073
1771539577.9487665,6282116,780.0,120.0,450.0,10.0,72.0,6.0,1771539577.9178646,0.14495167563980355,-2.556095051951596,0.38337246707092176,0.6165222875198099,-0.09339177874169441,2.0382824781490947
1771539580.5528235,6284720,780.0,72.7,450.0,16.5,78.8,14.1,1771539580.5211036,-0.0045785605867148214,-3.0885468464836987,-0.42318729351148593,0.6190173726880214,-0.029284323812366297,1.9178455385934097
1771539600.6876755,6304856,785.9,40.2,462.7,-11.0,74.7,-2.9,1771539600.6539648,-0.26970579958103125,-2.605013465148449,0.04459518681504072,0.7082398062727345,-0.054284772507411774,2.020427471631505
1771539603.2877045,6307456,760.0,40.0,470.0,-8.0,68.0,5.0,1771539603.258816,-0.28443911738590655,-2.536343396210096,0.36315872899224083,0.6810438968672478,-0.08035983614702967,2.0075806836530936
1771539605.8964534,6310064,804.3,39.8,465.0,-8.0,78.8,-1.4,1771539605.8617773,-0.100694990943844,-2.553428772186472,0.5642639783293305,0.6957715725595034,-0.041651143648139904,1.995345463568738
