2025102713401000.0,0.0,-1.0,0.0
2.02510271340112e+16,1.2,-1.0,15.0
2.02510271340124e+16,2.4,-1.0,30.0
2.02510271340136e+16,3.5999999999999996,-1.0,45.0
2.02510271340148e+16,4.8,-1.0,60.0
2.0251027134016e+16,6.0,-1.0,75.0
2.02510271340172e+16,7.2,-1.0,90.0
2.02510271340184e+16,8.4,-1.0,105.0
2.02510271340196e+16,9.6,-1.0,120.0
2.02510271340208e+16,10.799999999999999,-1.0,135.0
2.0251027134022e+16,11.999999999999998,-1.0,150.0
2.02510271340232e+16,13.199999999999998,-1.0,165.0
2.02510271340244e+16,14.399999999999997,-1.0,180.0
2.02510271340256e+16,15.599999999999996,-1.0,195.0
2.02510271340268e+16,16.799999999999997,-1.0,210.0
2.0251027134028e+16,17.999999999999996,-1.0,225.0
2.02510271340292e+16,19.199999999999996,-1.0,240.0
2.02510271340304e+16,20.399999999999995,nan,255.0
2.02510271340316e+16,21.599999999999994,-1.0,270.0
2.02510271340328e+16,22.799999999999994,-1.0,285.0
