timestamp_s,marker_id,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z
1770764539.9727876,2,-2.755969288774963,0.11059538713560337,0.4066415209470816,0.4512242100604587,-0.05877822987637683,0.5436740017510714
1770764539.9727876,3,-2.0644237245718706,-2.0393699551903266,0.3773336625771208,0.28164912880036924,-0.13896504790548814,0.4808278120494182
1770764539.9727876,0,-1.8871713934792302,-1.5754946899870315,-0.008325031049019906,0.3008879541684041,-0.05540425638233668,0.5187771516068149
1770764539.9727876,1,-2.493811544579345,0.2332534607896908,0.47478247453723954,0.1702828448475767,-0.040268020737294435,0.48589763059385604
1770764539.9727876,4,-1.9760162240687407,-1.6500311374179708,-0.1291170716222596,0.326357856760845,0.021959008084758074,0.5510510105835899
1770764592.4963722,2,-2.729772020471442,0.14587534265466084,0.38569743105185256,0.44427853615200164,-0.021698010966455884,0.5219619556973093
1770764592.4963722,3,-1.791661653632737,-1.5847751643424368,0.16672845417079318,0.2797224513512401,-0.10504909707490931,0.4683914402977202
1770764592.4963722,0,-1.9657722236588768,-1.637638280218248,-0.039554002810818764,0.295802802517821,-0.02019098878156228,0.5001652968833756
1770764592.4963722,1,-2.5353207521869896,0.2383030863736888,0.43722527564358743,0.16481185809569024,-0.007439756842010997,0.46817902149673674
1770764592.4963722,4,-2.003970867671366,-1.6572882113366463,-0.15145902081633267,0.31792338146614185,0.056782725692873015,0.5274564405288491
1770764725.3769574,3,-1.9235186570373006,-1.407057609052605,-0.16458298459322035,0.1816438505111692,-0.11816854834249103,0.43505304244246634
1770764725.3769574,2,-2.6302647995910213,0.340835734548842,0.3437389284683636,0.3541215287110118,-0.06413939371418237,0.5032875023579427
1770764725.3769574,0,-2.047003515978962,-1.4305896399137115,-0.26056330797080424,0.20685727578141763,-0.04149160920392438,0.46614784460825387
1770764725.3769574,1,-2.442836848887608,0.3956134117682164,0.2506374562736996,0.09188215671990783,-0.013617488474164973,0.442209754338885
1770764725.3769574,4,-2.0976605368674925,-1.49523943879369,-0.29768781142327577,0.24106262088383243,0.027619122765865787,0.5011106761057281
1770764848.0489426,2,-2.8474434967039413,0.3416106854661116,-0.14615234782514727,0.15499672567017778,0.08308032470994448,0.5643547990411915
1770764848.0489426,1,-2.8356568417684005,0.3658781004023909,-0.20793108992094464,-0.05912201152353855,0.13169980546583132,0.5274532624874877
1770764848.0489426,3,-2.350792678304978,-1.7645007309901815,-0.3969290538800802,0.021692778617043253,0.015665014113680657,0.5273453095958289
1770764848.0489426,0,-2.3839642864274415,-1.7742375001007236,-0.4051244894662614,0.04112715488564834,0.1023729178491303,0.5422891697131704
1770764848.0489426,4,-2.3754822636320143,-1.8240177457080495,-0.38780231315052655,0.06714064874214744,0.18235405300221957,0.5647115922231877
1770764983.2533622,3,-2.0925472931065685,-1.8081546450007653,-0.8889690749095598,0.03987029293105077,-0.09552597488650229,0.49986061882255844
1770764983.2533622,1,-2.587590008761107,0.12960768620154176,-0.5507847431579619,-0.060803214139667376,0.010975732605758595,0.49083550784060315
1770764983.2533622,2,-2.6074434331178873,0.14189997221189157,-0.3784431420277221,0.14746995439616503,-0.02424284837649999,0.5552683902312432
1770764983.2533622,0,-2.154693262002777,-1.8653636830066196,-0.8622980318825471,0.03753046620303331,-0.01139475643187592,0.5179556061559355
1770764983.2533622,4,-2.1566597233906872,-1.9348029757930933,-0.8618268564778434,0.04323451355894519,0.06354296344616005,0.5381982903412824
