pc_ts,ipoc,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,cam_ts,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m
1774994676.910675,1911693,760.0,-410.0,460.0,5.0,75.0,-6.0,1774994676.8695426,0.1959096608258526,-2.8544478402093643,0.9871956729568948,-0.04403435747372696,-0.23432116637618738,1.2784666372408753
1774994680.7105503,1915493,760.0,-410.0,460.0,175.0,72.0,-174.0,1774994680.6494174,0.30144483098828273,2.5239897096189203,-1.7752127333198495,-0.2683798830014349,0.3012438748369666,1.2159515564442658
1774994692.657793,1927441,760.0,-410.0,460.0,18.0,78.0,10.0,1774994692.6497927,0.19903138064703668,-2.90697948181193,1.098950480845027,-0.1029392941392905,-0.1857742810987764,1.2735752923990493
1774994696.2465546,1931029,760.0,-410.0,460.0,162.0,78.0,170.0,1774994696.229555,0.19378006193711642,2.5964959654851,-1.6222199457563817,-0.2783239751416334,0.19193725338389708,1.2397622025485084
1774994707.709574,1942493,760.0,-410.0,460.0,8.0,82.0,18.0,1774994707.697571,0.2812273204667313,2.818103887528821,-1.1785955855234989,-0.3094230541075454,-0.06617578697682408,1.2305334910438852
1774994711.149675,1945933,760.0,-410.0,460.0,172.0,82.0,162.0,1774994711.1476753,0.24177710305160005,-2.633446025672312,1.547642664226586,-0.07316777221198384,0.09198944818888251,1.3040660199810217
1774994714.6780474,1949461,760.0,-410.0,470.0,10.0,74.0,15.0,1774994714.6599052,0.14366204057049664,2.9150510995753747,-0.9774240833385475,-0.2719898308315607,-0.19616036345337612,1.237703623790446
1774994718.4454272,1953229,760.0,-410.0,470.0,170.0,74.0,165.0,1774994718.4300225,0.14589414096037312,-2.574275130887393,1.764263971475294,-0.14680782925910346,0.2170923093990424,1.2773311758861259
1774994723.601423,1958385,830.0,-310.0,440.0,168.0,85.0,172.0,1774994723.601423,-0.1243654590242226,-2.7587983842090913,1.4902957545081081,-0.33561602991110095,0.04401514078484135,1.3288100735597863
1774994730.7328448,1965517,830.0,-590.0,440.0,12.0,82.0,8.0,1774994730.7088437,0.05275372555168256,-2.853698238659472,1.1718779013250225,0.04121733888223498,-0.18183176523402045,1.3126306287355711
1774994733.7367203,1968521,808.1,-549.2,441.6,11.4,80.4,7.4,1774994733.690846,0.07283430304221945,-2.8842022634624978,1.1641717894359778,0.013613159844905916,-0.18552288493369945,1.3067256427581375
1774994736.7372153,1971521,737.0,-417.1,446.7,10.4,75.4,6.4,1774994736.6719253,0.06370217416297695,-2.9302893298547237,1.0319527828275974,-0.12741357972084155,-0.20499180604322229,1.257348447269499
1774994739.7373536,1974521,690.0,-330.0,450.0,10.0,72.0,6.0,1774994739.7218463,0.059820855319551516,-2.9760656305819357,0.9410751219409375,-0.23704668396764284,-0.21230506679029615,1.20494917020525
1774994746.7126698,1981497,690.0,-570.0,450.0,170.0,72.0,174.0,1774994746.6854346,0.116233824243564,2.5414891101383823,-1.8066773794963138,-0.06111136065655138,0.26956066403733797,1.169086666616302
1774994754.4244106,1989209,810.0,-410.0,430.0,-172.0,75.0,175.0,1774994754.3782995,0.24906070218747572,-2.495535499904623,1.6230947346021425,-0.01282600397886666,0.15323383542994037,1.3526893333463912
1774994760.0485473,1994833,670.0,-410.0,470.0,-8.0,68.0,5.0,1774994760.010042,0.382273597498839,2.9450560287852974,-0.8165497787910451,-0.31985518327639517,-0.15197370804801746,1.1410449280326544
