pc_timestamp_s,ipoc,override,vel_act,rpm_ext,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,aruco_timestamp_s,camera_lag_ms,visible_count,visible_ids,m0_rvec_x,m0_rvec_y,m0_rvec_z,m0_tvec_x_m,m0_tvec_y_m,m0_tvec_z_m,m1_rvec_x,m1_rvec_y,m1_rvec_z,m1_tvec_x_m,m1_tvec_y_m,m1_tvec_z_m,m2_rvec_x,m2_rvec_y,m2_rvec_z,m2_tvec_x_m,m2_tvec_y_m,m2_tvec_z_m,m3_rvec_x,m3_rvec_y,m3_rvec_z,m3_tvec_x_m,m3_tvec_y_m,m3_tvec_z_m,m4_rvec_x,m4_rvec_y,m4_rvec_z,m4_tvec_x_m,m4_tvec_y_m,m4_tvec_z_m
1771273703.6521637,1053759,30,30,0,739.9,127.0,320.1,-11.8,89.3,-11.1,1771273703.6334858,18.677949905395508,4,0|1|2|4,2.105937225906735,2.212244931992237,-0.4593581227012667,-0.26039502594929426,-0.4299890952175011,1.3703096052827972,-2.198215880496646,-0.03729632268584515,-0.6359269585475638,-0.36783075387990805,-0.42357131755107025,1.3705518799002598,-2.1302948023236374,-0.11703731158771637,-0.6691551865851418,-0.14487637818886603,-0.40882505184699663,1.3262726388738164,,,,,,,-1.6868469880065782,-1.8655094129241503,-1.385497210341785,-0.295111152244093,-0.3898524227100654,1.5102700995091485
1771273706.2562706,1056363,30,30,0,722.8,201.3,337.2,-12.0,88.8,-10.8,1771273706.2386513,17.61937141418457,4,0|1|2|4,-2.096203030101065,-2.2681903411948428,0.5620885611767829,-0.18347405182555135,-0.44453919665781566,1.3393183952455785,-2.2181948249634567,-0.022908533988107667,-0.6957424002936345,-0.29421886604362774,-0.4501582504903266,1.3747755041312637,-2.1614992559155204,-0.12929546956186802,-0.6709793578024177,-0.08005621123914436,-0.44788236742205234,1.373358905238183,,,,,,,-1.7215420623544992,-1.8787996888090643,-1.4735369604346842,-0.21264982712260613,-0.4059363784274867,1.4722320910179105
1771273708.8599,1058967,30,30,0,705.6,275.5,354.3,-12.1,88.2,-10.3,1771273708.8429556,16.944408416748047,4,0|1|2|4,-1.7725846926038185,-1.856197983550118,-1.3950440764982512,-0.11719411823914286,-0.4784988627105124,1.3691165726397723,2.925412757753757,0.11883375296489992,-0.3047277240881696,-0.22171340684049873,-0.4769510189276461,1.3781326612704659,-2.671579676614497,-0.0650612248293404,0.19718846272880788,0.9901158053398316,-0.5632991882165378,1.612500813791669,,,,,,,1.9975233139887483,2.2936530425823736,-0.7559043029140142,-0.14199236948800298,-0.43455257559639304,1.4789347167886593
1771273711.4640713,1061571,30,0,0,700.0,300.0,360.0,-12.0,88.0,-10.0,1771273711.4460127,18.05853843688965,2,2|4,,,,,,,,,,,,,2.849810885835389,0.42446352131332243,-0.7107156164954883,0.004850023354001797,-0.5225823646820861,1.4930772982666944,,,,,,,-1.9931012243792448,-2.3024839002380046,0.761021185728052,-0.11730124683461036,-0.44451099015599066,1.4810585249733745
1771273714.0676339,1064175,30,30,0,700.0,267.9,360.0,-10.5,88.0,-8.7,1771273714.0526965,14.937400817871094,2,2|4,,,,,,,,,,,,,-2.210213330392305,-0.12147495162116159,-0.7261763373230206,-0.021336400687827578,-0.497867431426872,1.4265993824296184,,,,,,,-1.6865102970675585,-1.8271426342739123,-1.4358706608256768,-0.1434145989406431,-0.4320834875366753,1.4484579339657053
1771273716.6708553,1066779,30,30,0,700.0,189.7,360.0,-7.2,88.0,-6.0,1771273716.654686,16.169309616088867,3,1|2|4,,,,,,,2.993384262420997,0.046962642784103246,-0.2674514638543129,-0.30516591152529154,-0.4812776212704613,1.3823082573210739,-2.177700940525414,-0.11649490578991051,-0.750457490229433,-0.09281146990768027,-0.47789477135303415,1.380843939828935,,,,,,,-1.7699576646282786,-1.934107923721621,-1.4322923878378433,-0.22773413993058939,-0.44282145353407304,1.5029014175908497
1771273719.2717235,1069379,30,30,0,700.0,111.8,360.0,-3.6,88.0,-3.0,1771273719.2563875,15.336036682128906,3,1|2|4,,,,,,,-2.2689286236004294,0.00929377970264922,-0.7567630014391192,-0.38910622266770056,-0.4839074411906516,1.3992265744929935,-2.549356497456269,-0.08735222333390373,0.8768506911580597,0.7775286919979648,-0.5414776242933155,1.5594280494270563,,,,,,,-1.8339560174118352,-1.9727779026459382,-1.432368008856182,-0.3186273701456695,-0.4550649885955225,1.555467339214693
1771273721.875914,1071983,30,30,0,700.0,33.6,360.0,-0.1,88.0,-0.1,1771273721.864354,11.560201644897461,3,0|2|4,2.2112644462350666,2.1690235203300334,-0.1934013440863937,-0.3614464661770148,-0.48572504665946864,1.3950972794997187,,,,,,,-2.4078728164299865,-0.0582719127590128,0.8365137863746798,0.6661304420316919,-0.5200803640294184,1.509357545108796,,,,,,,-1.8499501301259544,-1.9940818649448606,-1.3578333659680757,-0.4007145571866162,-0.45033445659392496,1.549045554315713
1771273724.4794152,1074587,30,30,0,700.0,-44.5,360.0,3.4,88.0,2.8,1771273724.4667938,12.621402740478516,2,0|4,-1.5815911031746308,-1.3943110229123816,-0.12620225087571355,0.4110903077141455,-0.47541819363855237,1.365407574717074,,,,,,,,,,,,,,,,,,,-1.5260360617579707,-1.424223183115781,-0.13140359701061774,0.46582744740047755,-0.435717828304901,1.4974541535976515
1771273727.0837803,1077191,30,30,0,700.0,-122.6,360.0,6.8,88.0,5.7,1771273727.06929,14.490365982055664,2,0|4,-1.5737519535628495,-1.3623574357138029,-0.07168711141673627,0.3276656148191008,-0.46878513690060575,1.3453512350145456,,,,,,,,,,,,,,,,,,,-1.5370507584630102,-1.3974686659875186,-0.14289376499365217,0.37377885613031075,-0.4219718662778189,1.451577164560704
