pc_ts,ipoc,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,cam_ts,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m
1774994305.611195,1540385,760.0,-410.0,460.0,5.0,75.0,-6.0,1774994305.5661783,1.7348479899027833,2.0279831742774492,-0.7405731998363329,-0.007694104843350925,-0.2811949862787627,1.3154998114923535
1774994309.4191885,1544193,760.0,-410.0,460.0,175.0,72.0,-174.0,1774994309.4111896,1.6085438312540425,1.2737412552816485,-0.9842988913471372,-0.2520574500769605,0.276081811259684,1.2719546741450596
1774994321.3389335,1556113,760.0,-410.0,460.0,18.0,78.0,10.0,1774994321.2828753,1.7002381221788108,1.942060431095473,-0.713210932091618,-0.07010591408841167,-0.2323267565831073,1.3216232664068834
1774994324.954844,1559729,760.0,-410.0,460.0,162.0,78.0,170.0,1774994324.9253674,1.6221068756079253,1.404071429338021,-0.8865926107475501,-0.2602062785331182,0.1626302701948555,1.2951102329854458
1774994333.742931,1568517,759.7,-410.2,468.7,163.5,73.6,-175.2,1774994333.7419317,1.6096403843873952,1.399609733205288,-0.8915270257889636,-0.25740940269912693,0.1540631757187848,1.2993780510190038
1774994336.7468102,1571521,760.0,-410.0,460.0,8.0,82.0,18.0,1774994336.7255714,1.8909593300314917,1.5787273730140667,-0.6400138233829615,-0.2958874975028585,-0.11283534004489429,1.2808366994462401
1774994339.859059,1574633,760.0,-410.0,460.0,172.0,82.0,162.0,1774994339.8430495,1.46153066242077,1.7417151775741053,-1.0038285200674193,-0.03751526058143337,0.06368403136160378,1.3617074561668436
1774994343.3829343,1578157,760.0,-410.0,470.0,10.0,74.0,15.0,1774994343.362934,1.9019525225337897,1.7553199823102503,-0.5429958211128539,-0.25104737732574056,-0.24644714082189495,1.27472034930989
1774994347.146439,1581921,760.0,-410.0,470.0,170.0,74.0,165.0,1774994347.13944,1.4117011112352553,1.5672787263526402,-1.0264363488543469,-0.11645350653206699,0.19586581889262558,1.3402849943577284
1774994352.310428,1587085,830.0,-310.0,440.0,168.0,85.0,172.0,1774994352.3084285,1.6819773916645486,1.5414003530724092,-0.8727487747587791,-0.3114212061567832,0.008257982099842255,1.3742347249126179
1774994362.6543925,1597429,803.1,-539.9,442.0,11.3,80.1,7.3,1774994362.6534066,1.7211776222464956,1.788005900645258,-0.7764050796230253,0.023538282773353052,-0.2013502904315583,1.3664080755138543
1774994365.6545157,1600429,732.0,-407.8,447.0,10.3,75.0,6.3,1774994365.6348808,1.7935553268311495,1.9036748251610567,-0.6608556140355722,-0.1092852583436673,-0.2527246457541682,1.2833648444047683
1774994368.658405,1603433,690.0,-330.0,450.0,10.0,72.0,6.0,1774994368.619893,1.8289103494061274,1.94135680847009,-0.5968848823291957,-0.20748510711643894,-0.2619440970566923,1.2402233098911717
1774994375.414047,1610189,690.0,-570.0,450.0,170.0,72.0,174.0,1774994375.3824387,1.5036338925491342,1.3959893875159741,-0.9984731032551383,-0.039900131234460776,0.25039489350006533,1.241186676806487
1774994383.12939,1617905,810.0,-410.0,430.0,-172.0,75.0,175.0,1774994383.0753608,1.356215894864726,1.689304363476097,-1.144922205544476,0.02689827382304002,0.1293276404375465,1.3903152538321544
1774994388.7573106,1623533,670.0,-410.0,470.0,-8.0,68.0,5.0,1774994388.7069285,2.1143053376196588,1.661238442478832,-0.44453803942537246,-0.3096666321495673,-0.20934410866262051,1.177092069790747
