pc_ts,ipoc,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,cam_ts,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m
1774992892.898026,127637,760.0,-410.0,460.0,162.0,78.0,170.0,1774992892.8290896,2.0182817179247285,-0.1378898838925924,0.08659745779893659,0.07723512640040944,0.3090278249230884,1.1811889904190565
1774992896.6016996,131341,760.0,-410.0,470.0,15.0,70.0,-8.0,1774992896.5472076,2.5521817959033903,0.4547467843813302,-0.21257022906695847,0.3506645566116086,-0.036232742995964407,1.207253039312253
1774992904.3773172,139117,760.0,-410.0,460.0,8.0,82.0,18.0,1774992904.3567028,2.3331903547735644,-0.21427013845750406,0.07321388224936701,0.05015219692643778,0.07607983680757428,1.2423189710847162
1774992907.8249514,142565,760.0,-410.0,460.0,172.0,82.0,162.0,1774992907.7965252,2.0930998172964905,0.19105504942863716,-0.09663240673625785,0.2185471711967434,0.271153760461301,1.1878551041703247
1774992911.3489444,146089,760.0,-410.0,470.0,10.0,74.0,15.0,1774992911.3178804,2.4734107914890013,-0.10163335097717513,0.0642884969282472,0.07377374673745533,-0.015332303646755868,1.2494673070253968
1774992920.4013457,155141,830.0,-310.0,440.0,168.0,85.0,172.0,1774992920.3369932,2.1358603526508237,-0.0842459022921922,0.023924991097141825,0.00017300139687006225,0.17515310478632834,1.2632020165835514
1774992928.1288683,162869,830.0,-590.0,440.0,12.0,82.0,8.0,1774992928.0974808,2.3898928016152836,0.05753855497521345,-0.015082655076520516,0.3878595287313221,0.005613476249385039,1.276679670504303
1774992935.328448,170069,691.6,-332.6,450.0,10.0,72.1,6.0,1774992935.328448,2.4034999541583666,0.06376052650454275,-0.04112015015840336,0.33261619024425787,0.0043976062752005786,1.2554806656609006
1774992938.332449,173073,689.9,-343.0,449.9,11.2,73.9,7.7,1774992938.3008685,2.523571980228497,0.053169979409020844,-0.019267236641419175,0.071298469825482,0.009506887037155255,1.1807056405167093
1774992950.576321,185317,810.0,-410.0,430.0,-172.0,75.0,175.0,1774992950.5215976,1.981745250740244,0.21045081104062352,-0.15451322599833908,0.27102256965599963,0.304239966019685,1.193721235963162
1774992956.291868,191033,670.0,-410.0,470.0,-8.0,68.0,5.0,1774992956.2712035,2.650391022142341,-0.34686816298512596,0.12285421696055626,0.04797839296359208,-0.007357556665359362,1.0899755211994318
